UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	5
0	6
6	8
0	6
0	6
0	1
0	0
0	5
0	5
0	1
1	46
0	43
1	0
0	0
0	61
4	103
2	16
0	53
0	1
0	4
4	102
0	22
0	0
0	0
0	0
0	1
0	0
0	1
0	0
0	0
0	1
0	60
0	1
0	0
0	10
0	57
0	6
0	26
0	0
0	6
0	1
0	2
0	10
0	0
0	27
0	0
0	0
0	13
0	13
0	14
0	0
0	1
0	6
0	6
0	0
0	13
0	0
0	0
0	3
0	1
0	0
0	0
0	71
0	0
0	0
0	0
0	0
23	82
0	7
0	0
0	49
0	16
1	0
0	3
0	79
0	79
0	7
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
24	0
1	78
0	75
0	5
0	11
0	65
0	77
307	52
0	6
0	3
0	0
0	0
0	0
0	10
0	9
0	10
0	0
0	5
0	8
0	10
0	0
0	1
0	6
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	10
0	1
0	0
0	1
0	0
0	1
0	1
0	0
0	1
0	0
0	0
0	5
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	1
0	1
0	1
0	0
0	1
0	4
0	0
0	0
0	0
0	0
0	0
222	149
0	3
0	68
1	33
0	19
0	17
0	50
0	14
3	28
1	9
0	2
0	4
0	7
4	27
0	5
0	5
0	0
0	17
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	4
0	4
0	0
0	0
0	4
0	0
0	0
0	0
0	0
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	161
1	8
8	8
0	0
1	0
0	0
0	0
0	8
0	0
0	8
0	0
0	1
0	0
0	0
6	5
0	4
0	0
0	0
0	0
0	0
1	0
0	0
1	24
0	2
1	24
0	2
0	1
1	1
0	1
0	0
0	0
0	0
37	13
0	5
0	6
1	5
0	0
0	0
0	0
1	0
0	5
0	0
3	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
74	426
0	426
0	59
0	59
0	0
0	0
0	0
0	0
0	0
2	23
3	23
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
19	49
0	1
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
1	124
0	13
0	3
33	121
0	2
0	6
0	0
0	0
0	0
0	0
